node,degree,betweenness,eigenvector
Gena Rowlands,12,0.00038452430975492437,0.006214932995014083
Bai Ling,12,0.00021491001678449113,0.011881801455229832
Adam Baldwin,12,0.00010986647491502607,0.010104326002913375
Archie Panjabi,12,0.0004047268331530033,0.01028326944819556
Gaby Hoffmann,12,9.477893563062043e-05,0.009761040926829213
Stephen Dillane,12,8.442243996333821e-05,0.01778949527606178
Catherine McCormack,12,0.00022400218269954885,0.014140939633018535
Lochlyn Munro,12,5.3023551643601144e-05,0.0026513518640275333
Julie Benz,12,0.0001357208023463016,0.00964910342093604
Isabelle Huppert,12,0.0003205286854847306,0.007026140696150604
